deso,hyresrätt,bostadsrätt,äganderätt,uppgift saknas,,"Antal lägenheter efter år, region och upplåtelseform"
0136C1450,19,45,659,0,,
0138A0010,29,0,508,0,,
0138C1010,6,142,536,0,,
0138C1020,71,56,623,0,,
0138C1030,96,102,487,0,,
0138C1040,76,106,660,0,,
0138C1050,363,149,351,0,,
0138C1060,20,2,694,0,,
0138C1070,100,58,606,0,,
0138C1080,569,468,32,0,,
0138C1090,422,226,370,0,,
0138C1100,49,0,558,0,,
0138C1110,84,63,665,0,,
0138C1120,941,0,0,0,,
0138C1130,786,0,0,0,,
0138C1140,0,0,601,0,,
0138C1150,485,767,0,0,,
0138C1160,39,796,148,0,,
0138C1170,695,513,386,0,,
0138C1180,158,130,204,0,,
0138C1190,18,273,197,0,,
0138C1200,504,712,0,0,,
0138C1210,0,1169,0,0,,
0138C1220,18,19,329,0,,
0138C1230,4,244,433,0,,
0138C1240,2,167,280,0,,
0138C1250,9,3,265,0,,
0139A0010,948,84,507,0,,
0139A0020,19,11,656,0,,
0139B2010,22,154,334,0,,
0139B2020,574,316,0,0,,
0139B2030,417,0,0,0,,
0139B2040,333,254,282,0,,
0139B2050,485,42,116,0,,
0139B2060,7,0,378,0,,
0139C1010,723,734,215,0,,
0139C1020,169,766,0,0,,
0139C1030,83,299,555,0,,
0139C1040,493,98,360,0,,
0139C1050,304,768,203,0,,
0139C1060,2,413,356,0,,
0139C1070,13,0,614,0,,
0140A0010,38,102,355,0,,
0140A0020,23,0,620,0,,
0140C1010,394,36,546,0,,
0140C1020,637,156,419,0,,
0140C1030,52,36,612,0,,
0140C1040,51,216,246,0,,
0160C1010,105,429,345,0,,
0160C1020,41,82,389,0,,
0160C1030,60,281,352,0,,
0160C1040,4,80,514,0,,
0160C1050,149,1001,297,0,,
0160C1060,188,1096,0,0,,
0160C1070,14,79,478,0,,
0160C1080,0,900,0,0,,
0160C1090,429,402,202,0,,
0160C1100,0,704,0,0,,
0160C1110,1,0,492,0,,
0160C1120,57,0,682,0,,
0160C1130,29,4,393,0,,
0160C1140,756,1743,0,0,,
0160C1150,270,1494,0,0,,
0160C1160,191,1062,0,0,,
0160C1170,68,0,706,0,,
0160C1180,2,8,430,0,,
0160C1190,69,688,0,0,,
0160C1200,73,830,0,0,,
0160C1210,10,84,727,0,,
0160C1220,0,1159,0,0,,
0160C1230,0,976,0,0,,
0160C1240,11,79,550,0,,
0160C1250,1,0,679,0,,
0160C1260,348,0,514,0,,
0160C1270,9,0,567,0,,
0160C1280,6,0,602,0,,
0160C1290,0,712,9,0,,
0160C1300,61,70,723,0,,
0160C1310,11,152,361,0,,
0160C1320,80,143,508,0,,
0160C1330,3,82,464,0,,
0160C1340,196,661,609,0,,
0160C1350,43,32,520,0,,
0160C1360,71,170,669,0,,
0160C1370,133,132,571,0,,
0160C1380,3,0,642,0,,
0162C1010,74,77,488,0,,
0162C1020,79,308,302,0,,
0162C1030,6,49,386,0,,
0162C1040,70,809,37,0,,
0162C1050,109,52,401,0,,
0162C1060,1,669,0,0,,
0162C1070,251,597,78,0,,
0162C1080,146,231,254,0,,
0162C1090,125,779,67,0,,
0162C1100,86,337,272,0,,
0162C1110,84,143,463,0,,
0162C1120,12,75,438,0,,
0162C1130,20,0,524,0,,
0162C1140,303,149,347,0,,
0162C1150,218,55,323,0,,
0162C1160,106,220,322,0,,
0162C1170,16,319,318,0,,
0162C1180,178,50,466,0,,
0162C1190,80,111,512,0,,
0162C1200,24,47,491,0,,
0163C1010,164,646,318,51,,
0163C1020,3,548,297,0,,
0163C1030,71,776,0,0,,
0163C1040,176,127,475,0,,
0163C1050,46,138,510,0,,
0163C1060,59,154,534,0,,
0163C1070,3,314,438,0,,
0163C1080,5,0,433,0,,
0163C1090,665,62,0,0,,
0163C1100,0,813,0,0,,
0163C1110,12,7,587,0,,
0163C1120,617,238,0,0,,
0163C1130,15,0,430,0,,
0163C1140,14,347,626,0,,
0163C1150,405,601,89,0,,
