deso,Median income tkr,Antal personer totalt,,,,,
0136C1240,297.7,1322,,,,,
0136C1250,288.5,1897,,,,,
0136C1260,249.2,1330,,,,,
0136C1270,277.4,1116,,,,,
0136C1280,287.2,830,,,,,
0136C1290,307.3,1292,,,,,
0136C1300,398.4,1173,,,,,
0136C1310,402.5,3646,,,,,
0136C1320,325.4,1554,,,,,
0136C1330,349.3,1193,,,,,
0136C1340,385,2864,,,,,
0136C1350,399.3,1003,,,,,
0136C1360,387.8,1550,,,,,
0136C1370,392.8,1353,,,,,
0136C1380,401.8,1363,,,,,
0136C1390,366.5,1594,,,,,
0136C1400,433.6,1592,,,,,
0136C1410,430.4,682,,,,,
0136C1420,473.3,1026,,,,,
0136C1430,476.1,1392,,,,,
0136C1440,451.6,1318,,,,,
0136C1450,386.6,1486,,,,,
0138A0010,419.6,1006,,,,,
0138C1010,451.9,1297,,,,,
0138C1020,516.9,1412,,,,,
0138C1030,424.8,1244,,,,,
0138C1040,455.2,1716,,,,,
0138C1050,373.3,1372,,,,,
0138C1060,437.6,1424,,,,,
0138C1070,396.3,1413,,,,,
0138C1080,333.8,1675,,,,,
0138C1090,384.7,1688,,,,,
0138C1100,406.2,1140,,,,,
0138C1110,467.2,1551,,,,,
0138C1120,258.7,1630,,,,,
0138C1130,298.3,1465,,,,,
0138C1140,452.4,1202,,,,,
0138C1150,329.8,1944,,,,,
0138C1160,311.4,1554,,,,,
0138C1170,379.1,2377,,,,,
0138C1180,408,889,,,,,
0138C1190,467.5,817,,,,,
0138C1200,288.2,1486,,,,,
0138C1210,310.3,1666,,,,,
0138C1220,523.6,862,,,,,
0138C1230,429.7,1307,,,,,
0138C1240,531.7,1059,,,,,
0138C1250,446.7,566,,,,,
0139A0010,352.6,2430,,,,,
0139A0020,370.3,1385,,,,,
0139B2010,429.5,1085,,,,,
0139B2020,275.1,1501,,,,,
0139B2030,239.8,664,,,,,
0139B2040,326.1,1640,,,,,
0139B2050,275.7,1085,,,,,
0139B2060,365.9,822,,,,,
0139C1010,317.8,2391,,,,,
0139C1020,303.1,1417,,,,,
0139C1030,402.9,1760,,,,,
0139C1040,331.3,1588,,,,,
0139C1050,366.2,2391,,,,,
0139C1060,364.5,1396,,,,,
0139C1070,390.5,1323,,,,,
0140A0010,417.8,985,,,,,
0140A0020,404.8,1285,,,,,
0140C1010,406.4,1901,,,,,
0140C1020,360.3,1908,,,,,
0140C1030,429.1,1407,,,,,
0140C1040,382.8,879,,,,,
0160C1010,548.6,1418,,,,,
0160C1020,569.1,970,,,,,
0160C1030,506.8,1146,,,,,
0160C1040,581,1267,,,,,
0160C1050,386.8,2056,,,,,
0160C1060,344.2,1529,,,,,
0160C1070,567.6,1179,,,,,
0160C1080,337.3,1165,,,,,
0160C1090,383.4,1677,,,,,
0160C1100,329.4,1092,,,,,
0160C1110,584.5,995,,,,,
0160C1120,487.2,1328,,,,,
0160C1130,503.4,848,,,,,
0160C1140,377.4,3324,,,,,
0160C1150,308.7,2338,,,,,
0160C1160,402.7,2013,,,,,
0160C1170,541.8,1499,,,,,
0160C1180,522,912,,,,,
0160C1190,335.5,1097,,,,,
0160C1200,352.3,1401,,,,,
