id,full_address,lon,lat,vehicleTypes.car,vehicleTypes.bike,vehicleTypes.motorbike,isFastCharge,plugTypes,powerRange.min,powerRange.max
5bea4f834405f90018e19ff1,"17, Fjällgatan Göteborg VÄSTRA GÖTALAND",11.941858,57.6958972,TRUE,TRUE,TRUE,FALSE,,22,22
5f1364bc1409840013856323,"30, Gustaf Dahlensgatan Göteborg VÄSTRA GÖTALAND",11.9449759,57.7240752,TRUE,TRUE,TRUE,FALSE,,3.6,3.6
5bc331fb6ac45700109a97b5,"1, Linnéplatsen Göteborg VÄSTRA GÖTALAND",11.9507701,57.6906724,TRUE,TRUE,TRUE,TRUE,,22,50
60da1175db454c00137dc93d,"55, Vegagatan Göteborg VÄSTRA GÖTALAND",11.9478907,57.6906903,TRUE,TRUE,TRUE,FALSE,,22,22
637d99bc245f61d7cafca0b4,Ångpannegatan 18 Göteborg NA,11.946113,57.7282832,FALSE,FALSE,FALSE,TRUE,,43,50
5ca4a9baad356b0011f0fa31,"15, Exportgatan Hisings backa VÄSTRA GÖTALAND",11.9890924,57.7317991,TRUE,TRUE,TRUE,FALSE,,3.6,3.6
5bc32f676ac45700109947f4,"4, Vintergatan Göteborg VÄSTRA GÖTALAND",11.9289149,57.7098228,TRUE,TRUE,TRUE,FALSE,,11,11
635744a2f59d7400252471e6,Ångpannegatan 18 NA NA,11.946113,57.7282832,TRUE,FALSE,FALSE,TRUE,,44,50
5bea503d4405f90018e1ae56,Miraallén Göteborg VÄSTRA GÖTALAND,11.928514,57.7056563,TRUE,TRUE,TRUE,FALSE,,22,22
5bc36af5c914260010578b01,Cronackersgatan Göteborg NA,11.9274514,57.7101326,TRUE,FALSE,FALSE,FALSE,,3.68,3.68
5bc32fc16ac4570010998871,"2A, Amerikaskjulet Göteborg VÄSTRA GÖTALAND",11.9316422,57.70007129999999,TRUE,TRUE,TRUE,FALSE,,3.6,3.6
613fe0fd5e3f0400145c4ea7,"2, Medicinaregatan Göteborg VÄSTRA GÖTALAND",11.9627207,57.6845929,TRUE,TRUE,TRUE,FALSE,,22,22
5ca4a9d8ad356b0011f104df,"3, Wieselgrensgatan Göteborg VÄSTRA GÖTALAND",11.9343327,57.7222502,TRUE,TRUE,TRUE,FALSE,,22,22
603d66bed15e750018fa63f3,"15, Drivhusgatan Göteborg VÄSTRA GÖTALAND",11.9957672,57.6855302,TRUE,TRUE,TRUE,FALSE,,11,11
6475761360ec9387ca532adc,Exportgatan 6 Hisings Backa NA,11.9865194,57.7344452,FALSE,FALSE,FALSE,TRUE,,22,150
5bc331656ac45700109a5f18,"13, Djurgårdsgatan Göteborg VÄSTRA GÖTALAND",11.9310102,57.6979188,TRUE,TRUE,TRUE,FALSE,,22,22
