"","deso","regso","nodes","avg_accessibility","avg_dijk_dist","avg_euc_dist","area_m2","Median income tkr","pop","total_households","swedish","foreign","middle_school","gymnasium","post_gymnasium_less_than_3","post_gymnasium_more_than_3","education_missing","hyresrätt","bostadsrätt","äganderätt","bilar_i_trafik","cars_per_household"
"20","1480C1660","Krokslätt Mossen",56,1.25695812649941,266.10695388507,0.00369564348692769,216441.317752375,65.7,1528,1146,0.617801047120419,0.382198952879581,0.00614439324116743,0.0399385560675883,0.216589861751152,0.632872503840246,0.104454685099846,0.874700718276137,0.114924181963288,0.0103750997605746,132,0.115183246073298
"21","1480C2580","Lunden Danska vägen",22,1.25545626628017,272.769862323755,0.00300205639308657,65226.9206406907,352.3,1589,1070,0.796098174952801,0.2039018250472,0.0452127659574468,0.285460992907801,0.212765957446809,0.445921985815603,0.0106382978723404,0.759717314487632,0.240282685512367,0,384,0.358878504672897
"22","1480C2220","Stigberget",106,1.25377085018724,288.182287307518,0.00294418241505716,180964.889011276,355.1,1544,765,0.769430051813471,0.230569948186528,0.0709745762711864,0.25,0.185381355932203,0.48728813559322,0.00635593220338983,0.890380313199105,0.108501118568233,0.00111856823266219,299,0.390849673202614
"23","1480C1720","Guldheden mellersta",92,1.25254947737668,304.113531203976,0.00411963160377796,291556.422031528,316.7,1367,887,0.713972201901975,0.286027798098025,0.0804455445544554,0.238861386138614,0.184405940594059,0.49009900990099,0.00618811881188119,1,0,0,313,0.352874859075536
"24","1480C1890","Landala södra",77,1.25163029346882,308.176836077843,0.00163345607449623,78520.3286308672,226.8,1544,1011,0.672279792746114,0.327720207253886,0.0816091954022989,0.25632183908046,0.203448275862069,0.41264367816092,0.0459770114942529,1,0,0,232,0.229475766567755
"25","1480C1310","Skattegården",108,1.25131783926448,341.988048990058,0.00346127941548712,412940.691607649,310.8,2710,1192,0.524723247232472,0.475276752767528,0.13443072702332,0.436899862825789,0.139917695473251,0.246227709190672,0.0425240054869684,0.953733766233766,0,0.0462662337662338,693,0.581375838926175
"26","1480C1880","Kungsladugård Älvsborgsgatan",158,1.24945694867969,327.782517466053,0.00188231949895119,407841.288429229,338.9,2036,1211,0.790275049115914,0.209724950884086,0.0647149460708783,0.295839753466872,0.208012326656394,0.412942989214176,0.0184899845916795,0.753772835583797,0.246227164416203,0,511,0.421965317919075
"27","1480C2650","Stampen västra",570,1.24666568325716,354.802923692078,0.00260831060827603,1675765.51846426,353.9,1978,1278,0.689079878665319,0.310920121334681,0.0469653179190751,0.299132947976879,0.197254335260116,0.406791907514451,0.0498554913294798,0.959876543209877,0.0401234567901235,0,283,0.221439749608764
"28","1480C1860","Johanneberg Chalmers",64,1.24578943008549,358.368589810223,0.0023068674422503,101761.706275521,284.3,1892,1239,0.662790697674419,0.337209302325581,0.0323475046210721,0.183918669131238,0.172828096118299,0.542513863216266,0.0683918669131238,0.771816881258941,0.228183118741059,0,343,0.27683615819209
"29","1480C2600","Olskroken",54,1.24494517917895,364.988255313229,0.00354587731938731,115154.162751221,346.8,1346,770,0.74368499257058,0.25631500742942,0.0720496894409938,0.341614906832298,0.193788819875776,0.382608695652174,0.00993788819875776,0.805309734513274,0.194690265486726,0,336,0.436363636363636
