deso,bilar_i_trafik,,"Personbilar i trafik efter år, region och status"
0123C1120,756,,
0123C1130,312,,
0123C1140,1236,,
0123C1150,746,,
0123C1160,451,,
0123C1170,223,,
0123C1180,865,,
0123C1190,500,,
0123C1200,320,,
0123C1210,391,,
0123C1220,886,,
0123C1230,601,,
0123C1240,485,,
0123C1250,334,,
0123C1260,679,,
0123C1270,921,,
0123C1280,318,,
0123C1290,607,,
0123C1300,809,,
0123C1310,642,,
0123C1320,1039,,
0123C1330,853,,
0123C1340,814,,
0123C1350,696,,
0123C1360,761,,
0123C1370,433,,
0123C1380,399,,
0123C1390,751,,
0123C1400,1169,,
0125A0010,451,,
0125A0020,808,,
0125A0030,441,,
0125A0040,1065,,
0125B2010,715,,
0125B2020,1021,,
0125B2030,508,,
0125B3010,416,,
0125B3020,710,,
0125C1010,641,,
0125C1020,538,,
0125C1030,846,,
0125C1040,890,,
0125C1050,720,,
0125C1060,628,,
0125C1070,775,,
0125C1080,950,,
0126A0010,885,,
0126C1010,996,,
0126C1020,576,,
0126C1030,342,,
0126C1040,620,,
0126C1050,784,,
0126C1060,424,,
0126C1070,337,,
0126C1080,289,,
0126C1090,364,,
0126C1100,458,,
0126C1110,358,,
0126C1120,692,,
0126C1130,346,,
0126C1140,299,,
0126C1150,494,,
0126C1160,506,,
0126C1170,680,,
0126C1180,545,,
0126C1190,1134,,
0126C1200,839,,
0126C1210,655,,
0126C1220,500,,
0126C1230,634,,
0126C1240,656,,
0126C1250,496,,
0126C1260,950,,
0126C1270,492,,
0126C1280,646,,
0126C1290,978,,
0126C1300,488,,
0126C1310,1185,,
0126C1320,440,,
0126C1330,620,,
0126C1340,438,,
0126C1350,1044,,
0126C1360,852,,
0126C1370,319,,
0126C1380,453,,
0126C1390,798,,
0126C1400,633,,
0126C1410,666,,
0126C1420,352,,
0126C1430,561,,
0126C1440,480,,
0126C1450,394,,
0126C1460,954,,
0126C1470,644,,
0126C1480,761,,
0126C1490,237,,
0126C1500,667,,
0126C1510,376,,
0126C1520,182,,
0126C1530,897,,
0126C1540,170,,
0126C1550,530,,
0126C1560,700,,
0126C1570,552,,
0126C1580,616,,
0126C1590,763,,
0127A0010,1213,,
0127A0020,578,,
0127C1010,474,,
0127C1020,687,,
0127C1030,1091,,
0127C1040,746,,
0127C1050,1010,,
0127C1060,833,,
0127C1070,703,,
0127C1080,708,,
0127C1090,470,,
0127C1100,616,,
0127C1110,446,,
0127C1120,668,,
0127C1130,570,,
0127C1140,638,,
0127C1150,846,,
0127C1160,427,,
0127C1170,771,,
0127C1180,1082,,
0127C1190,606,,
0127C1200,923,,
0127C1210,582,,
0127C1220,376,,
0127C1230,435,,
0127C1240,532,,
0127C1250,814,,
0127C1260,742,,
0127C1270,587,,
0127C1280,547,,
0127C1290,384,,
0127C1300,229,,
0127C1310,183,,
0127C1320,437,,
0127C1330,455,,
0127C1340,377,,
0127C1350,518,,
0127C1360,385,,
0127C1370,448,,
