from_node,to_node,distance
85,21265,464.0324859150288
86,21265,351.02079437797255
87,4188,512.68939922246
88,4188,486.90848345150243
89,21265,719.3052387651832
90,21265,538.7331849845633
91,21265,1023.6840643531318
92,21265,900.4366065954442
93,21265,863.6304018225753
94,27811,1035.7662618042725
95,21265,632.8905826426912
96,21265,811.0567433102344
97,21265,941.3008456473153
98,21265,1133.1847604745467
99,21265,992.1351935338371
100,11362,1126.9306985763467
101,35602,882.759501416839
102,21265,794.0288301390032
103,21265,763.9422228746519
104,60206,484.4964583931866
105,60206,545.945491076307
106,60206,674.9186028951701
107,13106,811.4351574109158
108,13106,839.2675896894455
109,12741,141.62243797347182
110,12741,131.761757212572
111,12741,71.28238064965284
112,12741,54.95040778584077
113,12741,152.95914994534263
114,12741,191.21000222172785
115,12741,315.3269828618668
116,13106,803.3763553733211
117,13106,831.6505520443297
118,13106,835.2142766549779
119,13106,881.2596058320091
120,13106,883.8843932555174
121,13106,896.411186199813
122,13106,901.0705081241667
123,13106,583.711214002576
124,13106,937.8352399515584
125,21104,2408.712628851009
126,21104,2426.0017036000218
127,21104,2475.864781375178
128,8789,1305.3807841847015
129,8789,1234.3024501155878
130,4188,582.1111285904158
131,4188,597.7430198864167
132,8789,960.1605817124794
133,4188,384.1849684647393
134,4188,461.8845897959887
135,4188,538.3127885164259
136,4188,896.7113733953818
137,688,563.6536262857803
138,688,554.4756403225027
139,688,539.1036584641456
140,688,888.9929434192217
141,688,870.8058009696188
142,688,1024.296066858436
143,688,962.8228671160608
144,11362,1916.7347643822498
145,11362,1943.868328554327
146,11362,1645.9133686911482
147,11362,1906.2932831262694
148,11362,1623.022659110454
149,11362,1226.7079120496335
150,41990,1607.002641230293
151,41990,1835.5270216367944
152,52251,423.4287129754104
153,52251,391.94180515739305
154,52251,318.92907943998364
155,52251,298.89069183853786
156,52251,249.11367363481781
157,52251,145.3483132788752
158,52251,285.1778370718763
159,33788,641.902034107716
160,1279,430.58186774434563
161,52251,58.717168957234605
162,52251,18.228657995812362
163,52251,49.3566381215051
164,44181,350.454555163996
165,44181,313.3959101657534
166,52251,418.9166776500434
167,52251,265.56369413831663
168,52251,201.92965638055207
169,44181,353.61213446465325
170,44181,351.311717352379
171,44181,362.43655125632745
