from_node,to_node,distance
153,7528,0
154,7528,0
155,7528,0
156,7528,0
157,7528,0
158,7528,0
159,7528,0
160,7528,0
161,7528,0
162,5184,666.6925796372122
163,5184,606.6158668445313
164,4212,0
165,4212,0
166,5760,0
167,5760,0
168,5760,0
169,5760,0
170,5760,0
171,5760,0
172,5760,0
173,5760,0
174,5760,0
175,5760,0
176,5760,0
177,5760,0
178,134,866.6180208408101
179,134,690.5851219989017
180,725,1732.2878742761618
181,134,224.09321012731698
182,3958,370.9905324295705
183,3958,328.5224408218138
184,11890,300.47290950891505
185,134,1163.034714688126
186,3957,135.28988870400343
187,3969,0
188,3969,0
189,3957,205.40560166797553
190,3971,834.5720450021994
191,3971,540.7527928789874
192,7938,718.5981819797254
193,3971,96.26970866666487
194,9897,336.91176577536186
195,7938,489.3280672580366
196,761,709.0676841133177
197,9897,549.1118729596001
198,9897,455.58973754621024
199,3969,0
200,3969,0
201,10612,444.8994615986871
202,10612,591.670100096327
203,10612,180.70327500414803
204,10612,110.61299522107429
205,210,2075.641879161183
206,210,2519.5511118847467
207,1839,0
208,474,4030.2350324178155
209,474,3204.87741064037
210,210,0
211,210,100.34958340398506
212,210,52.76898713246852
213,210,28.796001130242797
214,8164,108.47517983855897
215,8164,163.3551327785979
216,7883,0
217,7883,0
218,7883,0
219,8477,0
220,8477,0
221,7883,0
222,8477,0
223,8477,0
224,8477,0
225,8477,0
226,474,2579.095702722902
227,474,2472.9816295961696
228,474,2395.8311320578478
229,474,2848.5684394955706
230,474,2807.1141468425103
231,10612,1310.0116698215377
232,10612,1363.986166881007
233,10612,0
235,10612,659.1991061818436
236,10612,792.9424717739406
237,7028,362.35966491482714
238,7028,426.45698270381905
239,3264,0
240,7028,625.2451219136994
241,7028,725.6018062428161
242,7028,195.51600129465945
243,210,0
244,210,0
245,210,211.49123022478634
246,210,253.94329484158703
253,383,2407.0126315114994
254,383,2551.190176831514
255,383,344.2306672155003
256,383,387.05891313756433
259,5700,0
260,5700,0
261,5700,0
262,5700,0
263,5700,0
264,5699,0
265,5699,0
266,5699,0
267,8347,3296.972594440315
268,5699,0
269,5699,0
270,5699,0
271,5699,0
272,5700,0
273,5700,0
274,5700,0
275,5700,0
276,5700,0
277,5092,237.40652540062385
278,5092,149.15939949793938
279,8347,2408.601727502706
280,8347,2355.261010233134
281,9505,103.92829330173917
282,9505,167.1668297625766
287,8750,0
288,8750,0
289,8264,1014.7475647889084
290,8264,965.4383097167325
291,8477,0
292,12728,2291.2000508154765
293,8477,0
294,8477,0
295,8477,0
296,8477,0
297,8477,0
298,2316,0
299,2316,0
300,5700,0
301,5700,0
302,15014,732.7162338047955
303,9505,262.4397644034775
304,1105,398.6622501413516
305,1105,381.68278380859306
306,1105,755.4995643501621
307,1105,673.6019880773017
308,1105,448.0285417905323
309,1105,388.03745783497124
310,1105,420.2861409859364
311,6796,0
312,1105,556.4063724460212
313,1105,464.9371613599934
314,1105,537.244146798804
315,1105,751.8863026019251
316,1105,483.6990131198667
317,1105,499.7046015084575
318,12976,0
319,12976,0
320,12976,0
321,12976,0
322,8036,0
323,8036,0
324,2316,0
325,2316,0
326,7883,0
327,7883,0
328,8477,0
329,8477,0
330,7883,0
331,7883,0
332,5700,0
333,5700,0
334,5700,0
335,6762,44.68343492313872
336,6762,55.06377805489409
337,7649,0
338,1020,0
339,1194,0
340,1194,0
341,11414,0
342,11414,0
343,15424,0
344,5699,0
345,5699,0
346,5699,0
347,8347,2379.271829318119
348,8347,2385.7837420447736
349,8347,2578.5499375978475
350,8347,2950.000883431223
351,7883,0
352,7883,0
353,8629,0
354,8629,0
355,13092,0
356,13092,0
357,357,0
358,357,29.541848648506054
359,6740,681.0235168005855
360,6740,665.9379701832862
361,8629,182.5734050475352
362,8629,149.8386253213531
363,7528,0
364,7528,0
365,7528,0
366,4212,0
367,4212,0
368,3229,475.09916151779237
369,3229,409.028230125794
370,370,0
371,6740,974.4658846189338
372,357,466.16444978153277
373,1985,135.61009600966156
374,1556,176.94806469477908
375,1556,203.35338653846387
376,8347,2798.220339664347
377,1043,0
