deso,swedish,foreign,total
0126C1110,302,1997,2299
0126C1120,1547,402,1949
0126C1130,635,1484,2119
0126C1140,223,1588,1811
0126C1150,978,282,1260
0126C1160,757,1150,1907
0126C1170,1240,710,1950
0126C1180,526,972,1498
0126C1190,2134,1056,3190
0126C1200,1613,561,2174
0126C1210,1345,539,1884
0126C1220,1163,761,1924
0126C1230,1419,613,2032
0126C1240,1371,354,1725
0126C1250,1075,713,1788
0126C1260,2082,515,2597
0126C1270,1306,460,1766
0126C1280,1444,482,1926
0126C1290,1811,482,2293
0126C1300,1213,937,2150
0126C1310,1776,1501,3277
0126C1320,1078,613,1691
0126C1330,1370,414,1784
0126C1340,906,444,1350
0126C1350,2065,661,2726
0126C1360,1934,532,2466
0126C1370,303,843,1146
0126C1380,807,225,1032
0126C1390,1701,329,2030
0126C1400,1179,409,1588
0126C1410,1402,518,1920
0126C1420,356,1266,1622
0126C1430,1157,253,1410
0126C1440,998,256,1254
0126C1450,865,192,1057
0126C1460,2171,528,2699
0126C1470,1352,290,1642
0126C1480,1566,415,1981
0126C1490,170,800,970
0126C1500,1282,316,1598
0126C1510,301,1828,2129
0126C1520,179,985,1164
0126C1530,1625,804,2429
0126C1540,168,804,972
0126C1550,490,2044,2534
0126C1560,1167,687,1854
0126C1570,804,786,1590
0126C1580,1374,363,1737
0126C1590,1183,939,2122
0127A0010,1664,424,2088
0127A0020,474,1294,1768
0127C1010,689,254,943
0127C1020,1177,513,1690
0127C1030,1267,1489,2756
0127C1040,1002,723,1725
0127C1050,2040,1107,3147
0127C1060,1255,508,1763
0127C1070,942,704,1646
0127C1080,721,1963,2684
0127C1090,569,1779,2348
0127C1100,901,1092,1993
0127C1110,695,1316,2011
0127C1120,1286,273,1559
0127C1130,1144,294,1438
0127C1140,1211,554,1765
0127C1150,1728,782,2510
0127C1160,772,1116,1888
0127C1170,898,1247,2145
0127C1180,1935,1432,3367
0127C1190,1153,695,1848
0127C1200,1099,1049,2148
0127C1210,1129,623,1752
0127C1220,663,517,1180
0127C1230,787,356,1143
0127C1240,807,507,1314
0127C1250,1462,515,1977
0127C1260,1328,594,1922
0127C1270,382,1983,2365
0127C1280,390,1273,1663
0127C1290,243,1908,2151
0127C1300,147,1198,1345
0127C1310,123,1079,1202
0127C1320,552,1518,2070
0127C1330,149,1401,1550
0127C1340,287,1896,2183
0127C1350,358,2948,3306
0127C1360,192,1791,1983
0127C1370,270,1669,1939
0127C1380,107,958,1065
0127C1390,151,1212,1363
0127C1400,251,1866,2117
0127C1410,210,1776,1986
0127C1420,114,1778,1892
0127C1430,391,1660,2051
0127C1440,142,2152,2294
0127C1450,298,1009,1307
0127C1460,379,1241,1620
0127C1470,194,1745,1939
0127C1480,471,1003,1474
0128A0010,1662,400,2062
0128C1010,2307,524,2831
0128C1020,1336,478,1814
0128C1030,1200,1074,2274
0128C1040,1284,721,2005
0128C1050,1234,669,1903
0128C1060,1058,922,1980
0128C1070,1514,969,2483
0136A0010,661,86,747
0136A0020,1870,347,2217
0136A0030,1049,210,1259
0136B2010,1739,175,1914
0136C1010,1166,319,1485
0136C1020,1266,356,1622
0136C1030,1591,744,2335
0136C1040,2300,615,2915
0136C1050,1281,1012,2293
0136C1060,1393,315,1708
0136C1070,985,1088,2073
0136C1080,1794,653,2447
0136C1090,461,1733,2194
0136C1100,443,2196,2639
0136C1110,1399,1031,2430
0136C1120,397,1895,2292
0136C1130,346,1616,1962
0136C1140,627,615,1242
0136C1150,688,732,1420
0136C1160,1311,738,2049
0136C1170,1295,1427,2722
0136C1180,791,1186,1977
0136C1190,604,749,1353
0136C1200,895,1230,2125
0136C1210,714,625,1339
0136C1220,748,740,1488
0136C1230,853,1361,2214
0136C1240,521,1195,1716
0136C1250,1272,980,2252
0136C1260,526,1352,1878
0136C1270,562,1042,1604
0136C1280,439,781,1220
0136C1290,866,687,1553
0136C1300,1417,293,1710
0136C1310,3445,1867,5312
0136C1320,1209,821,2030
0136C1330,1208,399,1607
0136C1340,2347,1491,3838
0136C1350,1142,253,1395
0136C1360,1675,444,2119
0136C1370,1545,390,1935
0136C1380,1560,289,1849
0136C1390,1623,531,2154
0136C1400,1758,617,2375
0136C1410,879,167,1046
0136C1420,1345,215,1560
0136C1430,1750,333,2083
0136C1440,1596,286,1882
0136C1450,1610,494,2104
0138A0010,1199,209,1408
0138C1010,1484,312,1796
0138C1020,1827,263,2090
0138C1030,1436,298,1734
0138C1040,2077,427,2504
0138C1050,1490,373,1863
0138C1060,1626,306,1932
0138C1070,1725,297,2022
0138C1080,1648,634,2282
0138C1090,1741,522,2263
0138C1100,1375,233,1608
0138C1110,1869,346,2215
0138C1120,958,1459,2417
0138C1130,1025,1045,2070
0138C1140,1427,292,1719
0138C1150,1617,969,2586
0138C1160,1354,514,1868
0138C1170,2147,937,3084
0138C1180,977,293,1270
0138C1190,1077,136,1213
0138C1200,1184,612,1796
0138C1210,1424,534,1958
0138C1220,1140,150,1290
0138C1230,1515,288,1803
0138C1240,1432,181,1613
0138C1250,707,103,810
0139A0010,1706,1564,3270
0139A0020,1430,311,1741
