deso,swedish,foreign,total
0181A0030,1847,761,2608
0181A0040,338,1526,1864
0181A0050,809,356,1165
0181A0060,1362,257,1619
0181B2010,1813,568,2381
0181B2020,1072,364,1436
0181B2030,1948,1144,3092
0181B2040,1171,264,1435
0181B4010,1282,506,1788
0181B5010,895,311,1206
0181C1010,1613,645,2258
0181C1020,1280,823,2103
0181C1030,198,1761,1959
0181C1040,902,1012,1914
0181C1050,138,1753,1891
0181C1060,98,1499,1597
0181C1070,704,1192,1896
0181C1080,461,1368,1829
0181C1090,981,1305,2286
0181C1100,627,1780,2407
0181C1110,753,848,1601
0181C1120,396,1161,1557
0181C1130,1033,760,1793
0181C1140,1151,639,1790
0181C1150,395,1851,2246
0181C1160,624,2394,3018
0181C1170,778,824,1602
0181C1180,1114,1035,2149
0181C1190,138,1557,1695
0181C1200,906,792,1698
0181C1210,293,1750,2043
0181C1220,383,2115,2498
0181C1230,472,534,1006
0181C1240,942,1178,2120
0181C1250,858,742,1600
0181C1260,214,1917,2131
0181C1270,218,2169,2387
0181C1280,1056,2427,3483
0181C1290,492,1788,2280
0181C1300,756,2470,3226
0181C1310,1260,1336,2596
0181C1320,78,2039,2117
0181C1330,684,730,1414
0181C1340,830,1114,1944
0181C1350,652,1020,1672
0181C1360,408,1270,1678
0181C1370,751,1430,2181
0181C1380,1111,1230,2341
0181C1390,1295,1377,2672
0182C1010,1979,323,2302
0182C1020,795,910,1705
0182C1030,2809,516,3325
0182C1040,983,770,1753
0182C1050,857,211,1068
0182C1060,1693,310,2003
0182C1070,1523,236,1759
0182C1080,1757,283,2040
0182C1090,1625,258,1883
0182C1100,573,238,811
0182C1110,1858,397,2255
0182C1120,636,1830,2466
0182C1130,409,347,756
0182C1140,344,1677,2021
0182C1150,675,2017,2692
0182C1160,1072,125,1197
0182C1170,1742,399,2141
0182C1180,1549,264,1813
0182C1190,1258,333,1591
0182C1200,1098,239,1337
0182C1210,1767,289,2056
0182C1220,1400,200,1600
0182C1230,2124,595,2719
0182C1240,1659,299,1958
0182C1250,1626,626,2252
0182C1260,927,793,1720
0182C1270,1673,229,1902
0182C1280,1725,622,2347
0182C1290,2794,711,3505
0182C1300,1048,787,1835
0182C1310,2059,468,2527
0182C1320,1623,640,2263
0182C1330,1672,356,2028
0182C1340,1592,243,1835
0182C1350,1859,569,2428
0182C1360,840,93,933
0182C1370,2084,614,2698
0182C1380,1029,515,1544
0182C1390,2103,782,2885
0182C1400,1570,653,2223
0182C1410,2332,1017,3349
0182C1420,2130,413,2543
0182C1430,655,154,809
0182C1440,1532,1286,2818
0182C1450,1836,380,2216
0182C1460,2386,329,2715
0182C1470,1694,402,2096
0182C1480,1308,456,1764
0182C1490,1401,1109,2510
0182C1500,1831,356,2187
0182C1510,2011,386,2397
0182C1520,1869,443,2312
0182C1530,1372,222,1594
0183C1010,2133,845,2978
0183C1020,1285,457,1742
0183C1030,1785,772,2557
0183C1040,1099,498,1597
0183C1050,1743,772,2515
0183C1060,1193,396,1589
0183C1070,1244,406,1650
0183C1080,1610,537,2147
0183C1090,1147,361,1508
0183C1100,938,391,1329
0183C1110,1174,455,1629
0183C1120,1117,692,1809
0183C1130,1257,412,1669
0183C1140,1006,256,1262
0183C1150,985,1472,2457
0183C1160,903,1856,2759
0183C1170,321,1362,1683
0183C1180,1074,1211,2285
0183C1190,559,1858,2417
0183C1200,354,1785,2139
0183C1210,646,1211,1857
0183C1220,473,1370,1843
0183C1230,624,1168,1792
0183C1240,2036,1727,3763
0183C1250,818,1117,1935
0183C1260,2067,1092,3159
0184C1010,901,657,1558
0184C1020,963,677,1640
0184C1030,878,1768,2646
0184C1040,1191,721,1912
0184C1050,1569,1908,3477
0184C1060,1065,862,1927
0184C1070,896,757,1653
0184C1080,1144,778,1922
0184C1090,1164,1374,2538
0184C1100,1045,726,1771
0184C1110,1013,800,1813
0184C1120,1277,798,2075
0184C1130,627,1309,1936
0184C1140,1168,514,1682
0184C1150,847,570,1417
0184C1160,1173,673,1846
0184C1170,1027,923,1950
0184C1180,645,754,1399
0184C1190,1203,667,1870
0184C1200,550,1449,1999
0184C1210,966,859,1825
0184C1220,1435,744,2179
0184C1230,1817,932,2749
0184C1240,1366,509,1875
0184C1250,949,465,1414
0184C1260,1619,589,2208
0184C1270,1407,1239,2646
0184C1280,1564,658,2222
0184C1290,1301,445,1746
0184C1300,1286,739,2025
0184C1310,1605,1343,2948
0184C1320,728,585,1313
0184C1330,1419,799,2218
0184C1340,853,412,1265
0184C1350,842,1182,2024
0184C1360,1196,650,1846
0184C1370,962,782,1744
0184C1380,831,643,1474
0184C1390,1351,1446,2797
0184C1400,638,1294,1932
0184C1410,1335,1260,2595
0184C1420,993,507,1500
0184C1430,1264,610,1874
0186C1010,2123,647,2770
0186C1020,1802,363,2165
0186C1030,1081,651,1732
0186C1040,955,334,1289
0186C1050,1243,871,2114
0186C1060,1110,204,1314
0186C1070,1654,350,2004
0186C1080,1152,383,1535
0186C1090,1801,438,2239
0186C1100,1208,444,1652
0186C1110,745,911,1656
0186C1120,758,960,1718
0186C1130,1880,374,2254
0186C1140,1273,357,1630
0186C1150,1689,334,2023
0186C1160,1551,285,1836
0186C1170,1756,299,2055
0186C1180,1268,379,1647
0186C1190,1584,302,1886
0186C1200,1488,185,1673
0186C1210,1140,345,1485
0186C1220,1552,354,1906
0186C1230,1581,177,1758
0186C1240,1531,272,1803
0186C1250,1815,383,2198
0186C1260,1754,336,2090
0187A0010,1719,511,2230
0187C1010,1426,187,1613
0187C1020,1578,264,1842
0187C1030,1638,222,1860
0187C1040,913,94,1007
0187C1050,1505,181,1686
0187C1060,1513,148,1661
0188A0010,1069,78,1147
0188A0020,1293,281,1574
0188A0030,1559,195,1754
0188A0040,2059,311,2370
0188A0050,1198,136,1334
0188A0060,2027,225,2252
0188A0070,1329,256,1585
0188A0080,1087,304,1391
0188A0090,1093,150,1243
0188A0100,961,272,1233
0188A0110,1104,72,1176
0188A0120,1457,144,1601
0188A0130,1065,126,1191
0188A0140,1563,178,1741
0188A0150,1020,181,1201
0188A0160,1489,227,1716
0188A0170,1073,134,1207
0188A0180,1639,174,1813
0188A0190,1076,187,1263
0188B2010,1222,423,1645
0188B2020,1294,398,1692
0188B2030,1538,643,2181
0188B3010,1222,206,1428
0188B3020,905,356,1261
0188B3030,1235,790,2025
0188B4010,1336,323,1659
0188B5010,1313,203,1516
0188C1010,1946,566,2512
0188C1020,1163,487,1650
0188C1030,1589,188,1777
0188C1040,1704,301,2005
0188C1050,1598,374,1972
0188C1060,3080,619,3699
0188C1070,981,268,1249
0188C1080,1771,408,2179
0188C1090,1188,540,1728
0188C1100,1930,313,2243
0188C1110,2099,275,2374
0191A0010,1176,540,1716
0191A0020,1509,412,1921
0191A0030,1323,312,1635
0191A0040,1081,213,1294
0191B2010,1585,787,2372
0191B2020,1027,231,1258
0191B2030,2014,873,2887
0191B2040,1821,402,2223
0191B2050,1133,587,1720
0191B3010,1435,502,1937
0191C1010,1084,1354,2438
0191C1020,435,2256,2691
0191C1030,218,2022,2240
0191C1040,427,1769,2196
0191C1050,436,2027,2463
0191C1060,1063,1654,2717
0191C1070,467,1691,2158
0191C1080,1805,1845,3650
0191C1090,956,1451,2407
0191C1100,849,901,1750
0191C1110,776,1059,1835
0191C1120,1194,1106,2300
0191C1130,697,1454,2151
0191C1140,1352,565,1917
0192A0010,1460,255,1715
0192A0020,1978,410,2388
0192A0030,1448,226,1674
0192A0040,1907,371,2278
0192B2010,1493,951,2444
0192B2020,1257,627,1884
0192B3010,1187,196,1383
0192C1010,995,225,1220
0192C1020,1151,253,1404
0192C1030,1213,342,1555
0192C1040,1582,467,2049
0192C1050,804,453,1257
0192C1060,1656,418,2074
0192C1070,928,1451,2379
0192C1080,975,203,1178
0192C1090,1183,838,2021
0192C1100,960,180,1140
0305A0010,2275,550,2825
0305B2010,1670,535,2205
0305C1010,2622,507,3129
0305C1020,1145,386,1531
0305C1030,2396,597,2993
0305C1040,1111,795,1906
0305C1050,1969,448,2417
0305C1060,1960,701,2661
0305C1070,1338,295,1633
0305C1080,1201,264,1465
0319A0010,1393,219,1612
0319B2010,1447,172,1619
0319C1010,1563,229,1792
0319C1020,1732,801,2533
0319C1030,1640,429,2069
0330A0010,1526,251,1777
0330A0020,2081,345,2426
0330A0030,1047,138,1185
0330C1010,1436,654,2090
0330C1020,1798,403,2201
0330C1030,2340,1020,3360
0330C1040,1602,223,1825
0330C1050,1216,273,1489
0330C1060,1243,266,1509
0330C1070,1787,484,2271
0331A0010,993,159,1152
0331A0020,1603,214,1817
0331A0030,1540,205,1745
0331A0040,738,100,838
0331A0050,919,70,989
0331B2010,1746,256,2002
0331B3010,1126,460,1586
0331B4010,1101,196,1297
0331C1010,1266,461,1727
0331C1020,1026,242,1268
0360A0010,952,75,1027
0360A0020,1199,102,1301
0360A0030,1169,244,1413
0360A0040,1685,180,1865
0360A0050,1603,157,1760
0360A0060,1047,77,1124
0360A0070,924,71,995
0360B2010,2128,358,2486
0360B3010,1071,571,1642
0360B4010,1127,210,1337
0360C1010,1924,1033,2957
0360C1020,1636,321,1957
0360C1030,1323,219,1542
0380A0010,1562,282,1844
0380A0020,2273,383,2656
0380A0030,2059,466,2525
0380A0040,2017,277,2294
0380A0050,1730,269,1999
0380A0060,1848,237,2085
0380A0070,1256,162,1418
0380A0080,1672,538,2210
0380A0090,1116,225,1341
0380A0100,1195,102,1297
0380A0110,1052,102,1154
0380A0120,2278,184,2462
0380A0130,1504,191,1695
0380A0140,1557,161,1718
0380A0150,2545,305,2850
0380A0160,2237,315,2552
0380B2010,1355,438,1793
0380B2020,994,119,1113
0380B2030,1593,185,1778
0380B2040,1448,252,1700
0380B3010,1354,102,1456
0380B3020,993,135,1128
0380B3030,1197,269,1466
0380B4010,1539,230,1769
0380B4020,1611,125,1736
0380B5010,2611,543,3154
0380B6010,2074,862,2936
0380B7010,1343,101,1444
0380B8010,1107,222,1329
0380C1010,945,142,1087
0380C1020,1240,215,1455
0380C1030,1363,316,1679
0380C1040,1331,298,1629
0380C1050,1708,366,2074
0380C1060,923,595,1518
0380C1070,541,994,1535
0380C1080,564,494,1058
0380C1090,441,540,981
0380C1100,328,997,1325
0380C1110,599,1010,1609
0380C1120,760,138,898
0380C1130,255,1061,1316
0380C1140,693,947,1640
0380C1150,393,1526,1919
0380C1160,136,1768,1904
0380C1170,644,477,1121
0380C1180,488,941,1429
0380C1190,819,518,1337
0380C1200,908,274,1182
0380C1210,1803,1772,3575
0380C1220,1197,203,1400
0380C1230,1272,304,1576
0380C1240,1199,201,1400
0380C1250,1270,353,1623
0380C1260,2042,897,2939
0380C1270,768,122,890
0380C1280,967,142,1109
0380C1290,1185,301,1486
0380C1300,728,353,1081
0380C1310,684,751,1435
0380C1320,1148,446,1594
0380C1330,2175,1112,3287
0380C1340,956,450,1406
0380C1350,2670,1431,4101
0380C1360,1270,273,1543
0380C1370,518,823,1341
0380C1380,820,362,1182
0380C1390,1277,268,1545
0380C1400,1716,646,2362
0380C1410,824,466,1290
0380C1420,861,609,1470
0380C1430,379,873,1252
0380C1440,733,103,836
0380C1450,937,207,1144
0380C1460,91,1042,1133
0380C1470,1074,1237,2311
0380C1480,3620,1438,5058
0380C1490,1356,463,1819
0380C1500,510,694,1204
0380C1510,981,198,1179
0380C1520,1186,470,1656
0380C1530,973,350,1323
0380C1540,1000,326,1326
0380C1550,1020,413,1433
0380C1560,1402,360,1762
0380C1570,540,280,820
0380C1580,871,344,1215
0380C1590,1104,393,1497
0380C1600,1193,304,1497
0380C1610,783,463,1246
0380C1620,1014,158,1172
0380C1630,1492,731,2223
0380C1640,1088,194,1282
0380C1650,1013,181,1194
0380C1660,1110,179,1289
0380C1670,934,238,1172
0380C1680,1166,246,1412
0380C1690,588,187,775
0380C1700,1186,171,1357
0380C1710,1166,185,1351
0380C1720,1129,337,1466
0380C1730,934,243,1177
0380C1740,1317,219,1536
0380C1750,935,364,1299
0380C1760,1586,390,1976
0380C1770,671,184,855
0380C1780,975,240,1215
0380C1790,1476,222,1698
0380C1800,1564,458,2022
0380C1810,1104,368,1472
0380C1820,1034,215,1249
0380C1830,1436,597,2033
0380C1840,1518,481,1999
0380C1850,509,314,823
0380C1860,1287,421,1708
0380C1870,861,334,1195
0380C1880,705,942,1647
0380C1890,1166,337,1503
0380C1900,945,1486,2431
0380C1910,708,125,833
0380C1920,941,402,1343
0380C1930,622,314,936
0380C1940,1701,1296,2997
0380C1950,708,246,954
0380C1960,767,588,1355
0380C1970,886,722,1608
0380C1980,1240,208,1448
0380C1990,734,107,841
0380C2000,1208,271,1479
0380C2010,967,1159,2126
0380C2020,1511,607,2118
0380C2030,1053,282,1335
0380C2040,552,1943,2495
0380C2050,976,187,1163
0380C2060,1197,158,1355
0380C2070,789,197,986
0380C2080,583,796,1379
0380C2090,1316,499,1815
0380C2100,545,1970,2515
0380C2110,1233,330,1563
0380C2120,418,457,875
0380C2130,744,298,1042
0380C2140,1178,1102,2280
0380C2150,728,911,1639
0380C2160,772,413,1185
0380C2170,911,94,1005
0380C2180,907,539,1446
0380C2190,771,198,969
0380C2200,1178,839,2017
0380C2210,1224,339,1563
0381A0010,2126,293,2419
0381A0020,1007,120,1127
0381A0030,821,109,930
0381A0040,884,117,1001
0381A0050,1815,259,2074
0381A0060,1271,146,1417
0381A0070,2220,244,2464
0381A0080,1562,151,1713
0381A0090,1667,285,1952
0381B2010,1768,241,2009
0381B3010,1869,318,2187
0381B4010,983,231,1214
0381B5010,791,189,980
0381C1010,1711,254,1965
0381C1020,1981,354,2335
0381C1030,1803,346,2149
0381C1040,2130,525,2655
0381C1050,1753,1101,2854
0381C1060,1477,385,1862
0381C1070,974,1352,2326
0381C1080,1807,487,2294
0381C1090,1437,553,1990
0381C1100,1050,791,1841
0381C1110,1047,752,1799
0381C1120,1033,1258,2291
0382A0010,1792,119,1911
0382A0020,1263,139,1402
0382A0030,1041,92,1133
0382A0040,1275,141,1416
0382A0050,1444,100,1544
0382B2010,823,192,1015
0382B2020,1273,555,1828
0382B3010,1553,119,1672
0382B3020,991,97,1088
0382B4010,1101,190,1291
0382B4020,1081,255,1336
0382B5010,1490,136,1626
0382C1010,1775,385,2160
0382C1020,1306,154,1460
0382C1030,1303,159,1462
0428A0010,1062,141,1203
0428A0020,1190,130,1320
0428A0030,1656,175,1831
0428C1010,823,89,912
0428C1020,866,611,1477
0428C1030,1788,450,2238
0461A0010,884,139,1023
0461A0020,1228,201,1429
0461A0030,724,190,914
0461A0040,1425,229,1654
0461C1010,1571,528,2099
0461C1020,1472,344,1816
0461C1030,786,95,881
0461C1040,1519,277,1796
0480A0010,749,61,810
0480A0020,1112,96,1208
0480A0030,1341,166,1507
0480A0040,1190,126,1316
0480A0050,1220,93,1313
0480A0060,967,126,1093
0480A0070,1890,376,2266
0480A0080,1678,207,1885
0480A0090,1304,137,1441
0480B2010,1022,168,1190
0480B2020,1116,190,1306
0480B3010,1849,146,1995
0480B4010,833,121,954
0480C1010,2331,1083,3414
0480C1020,1208,291,1499
0480C1030,972,191,1163
0480C1040,2050,391,2441
0480C1050,1478,456,1934
0480C1060,2197,751,2948
0480C1070,1804,473,2277
0480C1080,1144,235,1379
0480C1090,2039,259,2298
0480C1100,1388,245,1633
0480C1110,1773,416,2189
0480C1120,1392,761,2153
0480C1130,1343,317,1660
0480C1140,1742,684,2426
0480C1150,826,1586,2412
0480C1160,723,1706,2429
0480C1170,703,267,970
0480C1180,1544,216,1760
0480C1190,2346,406,2752
0481C1010,1647,359,2006
0481C1020,1107,940,2047
0481C1030,1426,269,1695
0481C1040,850,896,1746
0481C1050,889,501,1390
0481C1060,1406,285,1691
0481C1070,1331,180,1511
0482A0010,1392,221,1613
0482A0020,1457,243,1700
0482A0030,1500,144,1644
0482B2010,1563,567,2130
0482B3010,1047,585,1632
0482C1010,657,359,1016
0482C1020,715,1649,2364
0482C1030,804,456,1260
0482C1040,1464,427,1891
0482C1050,697,111,808
0483A0010,1331,130,1461
0483A0020,1557,163,1720
0483A0030,869,55,924
0483A0040,1581,208,1789
0483A0050,1506,153,1659
0483A0060,1158,130,1288
0483B2010,1207,262,1469
0483C1010,955,136,1091
0483C1020,962,599,1561
0483C1030,1293,427,1720
0483C1040,1521,286,1807
0483C1050,646,979,1625
0483C1060,2012,311,2323
0483C1070,870,157,1027
0483C1080,1633,620,2253
0483C1090,833,975,1808
0483C1100,1122,652,1774
0483C1110,1473,868,2341
0483C1120,885,649,1534
0483C1130,970,794,1764
0483C1140,1063,603,1666
0484A0010,1454,179,1633
0484A0020,834,90,924
0484A0030,1446,118,1564
0484A0040,1139,228,1367
0484A0050,1992,217,2209
0484A0060,2202,360,2562
0484A0070,1319,129,1448
0484B2010,1332,200,1532
0484B3010,1174,138,1312
0484B4010,1079,161,1240
0484B5010,742,193,935
0484C1010,1139,217,1356
0484C1020,1377,269,1646
0484C1030,2170,559,2729
0484C1040,1325,536,1861
0484C1050,369,1629,1998
0484C1060,1185,464,1649
0484C1070,925,1130,2055
0484C1080,268,1343,1611
0484C1090,499,1698,2197
0484C1100,175,1221,1396
0484C1110,660,1499,2159
0484C1120,882,631,1513
0484C1130,1326,532,1858
0484C1140,846,895,1741
0484C1150,1055,386,1441
0484C1160,1573,412,1985
0484C1170,1297,283,1580
0484C1180,981,654,1635
0484C1190,533,923,1456
0484C1200,943,622,1565
0484C1210,1400,611,2011
0484C1220,622,1448,2070
0484C1230,581,485,1066
0484C1240,1163,501,1664
0484C1250,950,478,1428
0484C1260,1252,331,1583
0484C1270,1028,644,1672
0484C1280,1408,444,1852
0484C1290,1069,436,1505
0484C1300,1436,630,2066
0484C1310,1087,593,1680
0484C1320,854,1336,2190
0484C1330,1209,696,1905
0484C1340,2016,1294,3310
0484C1350,1127,982,2109
0484C1360,391,1038,1429
0484C1370,145,1244,1389
0484C1380,1194,586,1780
0484C1390,645,974,1619
0484C1400,1357,399,1756
0484C1410,555,1086,1641
0484C1420,1260,370,1630
0484C1430,691,1185,1876
0484C1440,1478,627,2105
0484C1450,1029,570,1599
0484C1460,1209,629,1838
0484C1470,1283,441,1724
0484C1480,859,662,1521
0484C1490,2222,658,2880
0484C1500,2166,697,2863
0486A0010,1884,388,2272
0486A0020,639,150,789
0486A0030,936,206,1142
0486A0040,1220,175,1395
0486A0050,857,140,997
0486A0060,652,91,743
0486A0070,1338,210,1548
0486A0080,1191,186,1377
0486B2010,1178,178,1356
0486B2020,1241,279,1520
0486B2030,1375,206,1581
0486B3010,1089,453,1542
0486B3020,1143,429,1572
0486B4010,1126,218,1344
0486B4020,859,176,1035
0486C1010,1002,420,1422
0486C1020,1506,369,1875
0486C1030,1659,433,2092
0486C1040,962,907,1869
0486C1050,1521,311,1832
0486C1060,1365,381,1746
0486C1070,1458,301,1759
0486C1080,1678,889,2567
0486C1090,2369,782,3151
0488A0010,1373,221,1594
0488A0020,887,222,1109
0488B2010,1149,661,1810
0488B2020,1008,289,1297
0488B2030,788,296,1084
0488C1010,2100,339,2439
0488C1020,1639,184,1823
0488C1030,2930,674,3604
0509A0010,1161,93,1254
0509A0020,1224,113,1337
0509C1010,953,177,1130
0509C1020,1225,371,1596
0512A0010,1111,152,1263
0512A0020,1406,98,1504
0512C1010,732,184,916
0513A0010,1049,59,1108
0513A0020,1309,118,1427
0513A0030,1199,61,1260
0513B2010,1113,49,1162
0513B2020,1169,78,1247
0513C1010,1082,307,1389
0513C1020,599,293,892
0513C1030,1403,180,1583
0560A0010,1977,127,2104
0560C1010,1577,351,1928
0560C1020,1265,201,1466
0561A0010,1076,64,1140
0561A0020,849,51,900
0561A0030,873,62,935
0561B2010,1125,55,1180
0561C1010,1186,166,1352
0561C1020,1147,139,1286
0561C1030,1628,100,1728
0561C1040,1181,288,1469
0561C1050,1329,187,1516
0562A0010,893,92,985
0562A0020,1275,125,1400
0562A0030,1530,141,1671
0562A0040,929,59,988
0562A0050,1367,166,1533
0562A0060,1023,111,1134
0562C1010,1431,173,1604
0562C1020,959,548,1507
0562C1030,1211,861,2072
0562C1040,1141,504,1645
0562C1050,1128,310,1438
0562C1060,1342,482,1824
0562C1070,1501,415,1916
0562C1080,1584,602,2186
0563A0010,861,54,915
0563A0020,734,43,777
0563A0030,1754,103,1857
0563B2010,915,198,1113
0563C1010,1408,297,1705
0563C1020,995,268,1263
0580A0010,2388,134,2522
0580A0020,1909,97,2006
0580A0030,1834,122,1956
0580A0040,743,44,787
0580A0050,1723,181,1904
0580A0060,1663,136,1799
0580A0070,1284,105,1389
0580A0080,950,82,1032
0580A0090,1503,139,1642
0580A0100,1258,85,1343
0580A0110,1047,113,1160
0580A0120,1076,113,1189
0580A0130,836,64,900
0580B2010,1326,76,1402
0580B2020,1631,174,1805
0580B2030,1580,175,1755
0580B2040,1435,186,1621
0580B2050,1955,193,2148
0580B3010,1695,143,1838
0580B3020,1321,108,1429
0580B4010,1555,193,1748
0580B4020,1195,92,1287
0580B5010,2543,416,2959
0580B6010,1133,85,1218
0580B6020,2042,235,2277
0580C1010,2031,259,2290
0580C1020,1999,313,2312
0580C1030,1154,215,1369
0580C1040,1171,142,1313
0580C1050,1532,260,1792
0580C1060,880,122,1002
0580C1070,1187,290,1477
0580C1080,1404,184,1588
0580C1090,1138,548,1686
0580C1100,1249,133,1382
0580C1110,1621,832,2453
0580C1120,1401,188,1589
0580C1130,1372,366,1738
0580C1140,1499,126,1625
0580C1150,1304,496,1800
0580C1160,1120,779,1899
0580C1170,1033,716,1749
0580C1180,1189,267,1456
0580C1190,2104,1209,3313
0580C1200,1436,143,1579
0580C1210,1203,391,1594
0580C1220,611,1212,1823
0580C1230,3104,741,3845
0580C1240,1312,219,1531
0580C1250,563,1451,2014
0580C1260,856,519,1375
0580C1270,1125,249,1374
0580C1280,1020,265,1285
0580C1290,1468,415,1883
0580C1300,1246,548,1794
0580C1310,3121,756,3877
0580C1320,1320,464,1784
0580C1330,1247,264,1511
0580C1340,2001,491,2492
0580C1350,1289,230,1519
0580C1360,1054,219,1273
0580C1370,1412,382,1794
0580C1380,996,1108,2104
0580C1390,911,318,1229
0580C1400,445,1525,1970
0580C1410,1307,407,1714
0580C1420,2213,413,2626
0580C1430,1327,210,1537
0580C1440,1035,293,1328
0580C1450,1177,257,1434
0580C1460,932,824,1756
0580C1470,1477,408,1885
0580C1480,1336,210,1546
0580C1490,1283,413,1696
0580C1500,1151,430,1581
0580C1510,619,1130,1749
0580C1520,1192,503,1695
0580C1530,1267,229,1496
0580C1540,1363,305,1668
0580C1550,1180,362,1542
0580C1560,1427,308,1735
0580C1570,1268,293,1561
0580C1580,1771,230,2001
0580C1590,1161,378,1539
0580C1600,2319,1012,3331
0580C1610,593,1590,2183
0580C1620,1120,605,1725
0580C1630,420,1429,1849
0580C1640,1138,279,1417
0580C1650,1174,317,1491
0580C1660,425,1653,2078
0580C1670,379,1455,1834
0580C1680,460,1712,2172
0580C1690,1476,429,1905
0581A0010,1387,107,1494
0581A0020,1551,83,1634
0581A0030,1730,91,1821
0581A0040,1610,204,1814
0581A0050,1348,96,1444
0581A0060,2536,195,2731
0581A0070,1924,139,2063
0581A0080,1232,251,1483
0581A0090,906,86,992
0581A0100,1557,223,1780
0581B2010,1626,192,1818
0581B2020,1114,139,1253
0581B2030,1227,121,1348
0581B2040,1443,362,1805
0581B2050,850,79,929
0581B3010,1495,194,1689
0581B3020,1646,179,1825
0581B3030,2160,260,2420
0581B4010,1180,89,1269
0581B4020,2041,158,2199
0581B4030,1745,143,1888
0581B5010,1441,207,1648
0581B5020,2057,361,2418
0581C1010,679,68,747
0581C1020,982,1335,2317
0581C1030,934,1697,2631
0581C1040,779,114,893
0581C1050,1249,441,1690
0581C1060,1748,448,2196
0581C1070,862,1217,2079
0581C1080,1680,370,2050
0581C1090,1197,344,1541
0581C1100,312,1197,1509
0581C1110,911,602,1513
0581C1120,282,1600,1882
0581C1130,369,485,854
0581C1140,1404,319,1723
0581C1150,1426,280,1706
0581C1160,296,1073,1369
0581C1170,439,2010,2449
0581C1180,973,219,1192
0581C1190,1387,474,1861
0581C1200,1917,779,2696
0581C1210,1579,280,1859
0581C1220,1393,426,1819
0581C1230,1395,443,1838
0581C1240,1201,1398,2599
0581C1250,1332,1162,2494
0581C1260,1320,1503,2823
0581C1270,1452,403,1855
0581C1280,1634,651,2285
0581C1290,1832,286,2118
0581C1300,1331,320,1651
0581C1310,1304,1080,2384
0581C1320,1663,793,2456
0581C1330,1278,452,1730
0581C1340,1022,1000,2022
0581C1350,1222,625,1847
0581C1360,1507,588,2095
0581C1370,1323,625,1948
0581C1380,1025,900,1925
0581C1390,966,762,1728
0581C1400,872,411,1283
0581C1410,823,1082,1905
0581C1420,1111,628,1739
0581C1430,1043,1440,2483
0581C1440,1424,284,1708
0581C1450,1921,323,2244
0581C1460,1153,598,1751
0581C1470,1193,472,1665
0581C1480,1623,284,1907
0581C1490,1362,441,1803
0581C1500,1337,542,1879
0581C1510,1410,413,1823
0581C1520,1443,360,1803
0581C1530,1310,244,1554
0581C1540,1468,355,1823
0581C1550,1693,343,2036
0581C1560,1112,463,1575
0582A0010,2105,141,2246
0582A0020,1754,102,1856
0582A0030,1547,101,1648
0582B2010,1188,95,1283
0582C1010,1172,159,1331
0582C1020,1345,272,1617
0582C1030,1687,199,1886
0582C1040,1081,83,1164
0582C1050,1597,206,1803
0583A0010,1336,129,1465
0583A0020,981,77,1058
0583A0030,1140,98,1238
0583A0040,918,94,1012
0583A0050,1363,117,1480
0583A0060,999,79,1078
0583A0070,1583,124,1707
0583B2010,1014,62,1076
0583B2020,1923,117,2040
0583C1010,2044,331,2375
0583C1020,1631,673,2304
0583C1030,1760,409,2169
0583C1040,1665,375,2040
0583C1050,1351,309,1660
0583C1060,1408,284,1692
0583C1070,1350,1125,2475
0583C1080,1593,481,2074
0583C1090,1308,1274,2582
0583C1100,1760,219,1979
0583C1110,1207,1570,2777
0583C1120,1947,229,2176
0583C1130,1794,234,2028
0583C1140,1840,238,2078
0583C1150,1064,101,1165
0584A0010,1499,125,1624
0584C1010,1781,227,2008
0584C1020,1169,98,1267
0584C1030,1178,245,1423
0584C1040,1054,105,1159
0586A0010,1154,63,1217
0586A0020,1439,105,1544
0586A0030,1512,77,1589
0586A0040,1256,72,1328
0586C1010,985,429,1414
0586C1020,992,722,1714
0586C1030,1735,173,1908
0586C1040,1060,200,1260
0586C1050,1195,107,1302
0586C1060,900,444,1344
0586C1070,1227,245,1472
0586C1080,1587,343,1930
0586C1090,1363,677,2040
0586C2010,1369,157,1526
0586C2020,1529,112,1641
0586C2030,1562,233,1795
0586C3010,1215,211,1426
0586C3020,1779,242,2021
0604A0010,1304,139,1443
0604A0020,1563,133,1696
0604C1010,1688,623,2311
0604C1020,1173,201,1374
0617A0010,1336,235,1571
0617A0020,1087,264,1351
0617B2010,1197,805,2002
0617C1010,813,456,1269
0617C1020,972,1006,1978
0617C1030,818,449,1267
0642A0010,1433,209,1642
0642C1010,1596,323,1919
0642C1020,1638,230,1868
0642C1030,1783,320,2103
0643A0010,1803,122,1925
0643A0020,1730,155,1885
0643C1010,1273,117,1390
0643C1020,2217,333,2550
0643C1030,1638,160,1798
0643C1040,1741,337,2078
0643C1050,1350,152,1502
0662A0010,877,75,952
0662A0020,1180,151,1331
0662A0030,1756,198,1954
0662A0040,1372,179,1551
0662B2010,1451,711,2162
0662B2020,574,523,1097
0662B2030,839,517,1356
0662B3010,1105,274,1379
0662B4010,996,350,1346
0662B5010,688,254,942
0662C1010,864,743,1607
0662C1020,1250,375,1625
0662C1030,1168,674,1842
0662C1040,1319,534,1853
0662C1050,837,595,1432
0662C1060,1035,640,1675
0662C1070,942,739,1681
0662C1080,514,1402,1916
