deso,regso,nodes,avg_accessibility,avg_dijk_dist,avg_euc_dist,area_m2,Median income tkr,pop,total_households,swedish,foreign,middle_school,gymnasium,post_gymnasium_less_than_3,post_gymnasium_more_than_3,education_missing,hyresrätt,bostadsrätt,äganderätt,bilar_i_trafik,cars_per_household
1480C1950,Krokslätt norra,39,1.20682879856302,709.5468620354948,0.0030509388408962923,93881.94477274646,394.9,1709,939,0.7840842598010532,0.21591574019894674,0.04784688995215311,0.2669856459330144,0.20478468899521532,0.4602870813397129,0.020095693779904306,0.6331360946745562,0.3668639053254438,0,415,0.44195953141640043
1480C1750,Kungsladugård Kungsladugårdsgatan,33,1.206765791185225,728.3327386730036,0.003980880102843963,139446.71037536775,329.1,1726,1031,0.8006952491309386,0.1993047508690614,0.06905594405594405,0.2867132867132867,0.20279720279720279,0.4318181818181818,0.009615384615384616,0.842843779232928,0.15715622076707203,0,376,0.3646944713870029
1480C2700,Kyrkbyn östra,188,1.2045281449835767,735.4342673391361,0.005245607186421856,396597.9568491153,332.9,1517,845,0.6506262359920897,0.34937376400791037,0.0889132821075741,0.3611416026344676,0.15477497255762898,0.3468715697036224,0.048298572996706916,0.7396149949341438,0.1773049645390071,0.08308004052684904,399,0.47218934911242605
1480C1610,Guldheden södra,30,1.2042292253641433,735.7368240830616,0.0046416908901751345,132611.01354549432,310.8,2127,1124,0.6577338975082275,0.3422661024917725,0.036155202821869487,0.18077601410934743,0.17989417989417988,0.5679012345679012,0.03527336860670194,0.642495784148398,0.357504215851602,0,406,0.3612099644128114
1480C3540,Tuve Norumshöjd,65,1.2038276577938334,744.512482949131,0.0040485049065067105,242969.49949989823,260.4,2327,957,0.38504512247529005,0.6149548775247099,0.20161943319838058,0.49230769230769234,0.1360323886639676,0.14736842105263157,0.022672064777327937,0.99706457925636,0,0.0029354207436399216,509,0.5318704284221526
1480C2670,Björkekärr Östra sjukhuset,56,1.2038022757524385,735.6327262744288,0.004859135703032103,258136.73485753228,339.1,2063,1046,0.7275811924381969,0.2724188075618032,0.09965034965034965,0.3243006993006993,0.16083916083916083,0.40821678321678323,0.006993006993006993,0.6273127753303964,0.3312775330396476,0.04140969162995595,591,0.5650095602294455
1480C3480,Skälltorp Bäckebol,221,1.2035563475314097,748.0006392278883,0.0027509970065987197,952633.8206680039,296.9,1873,920,0.32835024025627335,0.6716497597437266,0.11608961303462322,0.43584521384928715,0.15478615071283094,0.2209775967413442,0.07230142566191446,0.09219858156028368,0.9078014184397163,0,577,0.6271739130434782
1480C1870,Majorna Gråberget,51,1.2011803542353283,780.4396069101127,0.0041310844868797545,155290.77561493812,349.1,2083,1242,0.771483437349976,0.228516562650024,0.06188118811881188,0.25165016501650167,0.18646864686468648,0.47112211221122113,0.028877887788778877,0.35248447204968947,0.6475155279503105,0,573,0.4613526570048309
1480C1760,Johanneberg västra,51,1.2011177055199593,769.9699269569678,0.0030494491339868148,80963.38314219659,350.4,1654,1101,0.777509068923821,0.22249093107617895,0.029878618113912233,0.22969187675070027,0.16993464052287582,0.5368814192343604,0.03361344537815126,0.516750418760469,0.483249581239531,0,386,0.3505903723887375
1480C3060,Gamlestaden västra,115,1.2009476612005006,763.9023761675937,0.003969899991377948,259168.2184323863,320,2222,1129,0.5261026102610261,0.4738973897389739,0.07966457023060797,0.2914046121593291,0.19077568134171907,0.4116002795248078,0.026554856743535988,0.6680327868852459,0.3319672131147541,0,413,0.36581045172719223
1480C1540,Annedal-Änggården,743,1.2008094137079641,775.0193871361265,0.004345583939793404,4780086.411615411,343.6,1553,687,0.7875080489375402,0.21249195106245974,0.03587443946188341,0.16143497757847533,0.1554559043348281,0.5754857997010463,0.07174887892376682,0.5311750599520384,0.1211031175059952,0.34772182254196643,393,0.5720524017467249
1480C1980,Majorna Såggatan,56,1.1991564849302168,788.6538993756706,0.004533002071066674,134257.28265287707,359.3,1655,875,0.8211480362537764,0.17885196374622356,0.05593719332679097,0.2433758586849853,0.17369970559371933,0.5171736997055937,0.009813542688910697,0.6440489432703004,0.3559510567296997,0,371,0.424
1480C2990,Svartedalen västra,419,1.19892636503034,782.6060150993549,0.009632846648840907,720429.5343578638,366.8,2390,958,0.5811715481171548,0.4188284518828452,0.10287769784172662,0.302158273381295,0.1553956834532374,0.3971223021582734,0.04244604316546763,0.38360323886639675,0.03744939271255061,0.5789473684210527,750,0.7828810020876826
1480C3020,Norra Biskopsgården,88,1.198869446281559,879.769334470586,0.009001256541722851,1362769.8722225763,238.2,2090,715,0.17416267942583732,0.8258373205741627,0.2371234207968902,0.36345966958211856,0.14188532555879493,0.19922254616132168,0.05830903790087463,0.7195121951219512,0.24390243902439024,0.036585365853658534,413,0.5776223776223777
1480C3690,Hjällbo västra,30,1.1967726255514366,813.1810485139745,0.0016479685467291395,126350.20997676386,196.4,1955,641,0.07468030690537085,0.9253196930946291,0.3187042842215256,0.3667711598746082,0.13375130616509928,0.13166144200626959,0.04911180773249739,1,0,0,332,0.5179407176287052
1480C3840,Kärra centrum,237,1.1962421996217116,993.0482244555175,0.019119684761765867,1288834.7243658747,347.2,1677,742,0.6046511627906976,0.3953488372093023,0.09090909090909091,0.4794520547945205,0.17559153175591533,0.23038605230386053,0.023661270236612703,0.22325581395348837,0.49767441860465117,0.27906976744186046,613,0.8261455525606469
1480C3650,Skälltorp Bäckebol,462,1.1955582152428588,863.5670990129706,0.006310854658208177,3515616.4011108764,303.8,1259,633,0.3145353455123114,0.6854646544876887,0.10977443609022557,0.40601503759398494,0.16541353383458646,0.25413533834586466,0.06466165413533835,0.007692307692307693,0.9923076923076923,0,434,0.6856240126382307
1480C2800,Rambergsstaden östra,33,1.1950865032598565,813.6312419209694,0.003533016122275093,67423.47115863484,379.4,1395,834,0.5978494623655914,0.4021505376344086,0.07243460764587525,0.30482897384305835,0.1841046277665996,0.41146881287726356,0.02716297786720322,0.27519818799546997,0.72480181200453,0,339,0.4064748201438849
1480C2000,Stigberget,46,1.1943571140866505,820.0226510194378,0.004786101279969503,124169.60960849111,326,2166,1235,0.7982456140350878,0.20175438596491227,0.0664259927797834,0.2620938628158845,0.20144404332129964,0.4541516245487365,0.01588447653429603,0.9137529137529138,0.08624708624708624,0,440,0.3562753036437247
1480C2560,Lindholmen,559,1.1920403163763382,890.6434858141544,0.002727788749029436,2404727.1276542363,335.2,3320,2076,0.5262048192771084,0.47379518072289156,0.031929662193428965,0.14160111059694586,0.1892642295233688,0.5284590467376215,0.10874595094863489,0.5172602739726028,0.4827397260273973,0,504,0.24277456647398843
