deso,total_households,,,"Antal hushåll efter år, region och hushållstyp"
0138C1200,1052,,,
0138C1210,1130,,,
0138C1220,404,,,
0138C1230,701,,,
0138C1240,551,,,
0138C1250,280,,,
0139A0010,1441,,,
0139A0020,751,,,
0139B2010,535,,,
0139B2020,876,,,
0139B2030,400,,,
0139B2040,973,,,
0139B2050,575,,,
0139B2060,384,,,
0139C1010,1515,,,
0139C1020,893,,,
0139C1030,930,,,
0139C1040,930,,,
0139C1050,1383,,,
0139C1060,759,,,
0139C1070,633,,,
0140A0010,542,,,
0140A0020,683,,,
0140C1010,1088,,,
0140C1020,1153,,,
0140C1030,746,,,
0140C1040,521,,,
0160C1010,769,,,
0160C1020,496,,,
0160C1030,626,,,
0160C1040,595,,,
0160C1050,1310,,,
0160C1060,1082,,,
0160C1070,569,,,
0160C1080,855,,,
0160C1090,1009,,,
0160C1100,679,,,
0160C1110,493,,,
0160C1120,715,,,
0160C1130,433,,,
0160C1140,2243,,,
0160C1150,1572,,,
0160C1160,1219,,,
0160C1170,771,,,
0160C1180,440,,,
0160C1190,729,,,
0160C1200,905,,,
0160C1210,828,,,
0160C1220,1113,,,
0160C1230,956,,,
0160C1240,637,,,
0160C1250,680,,,
0160C1260,842,,,
0160C1270,574,,,
0160C1280,602,,,
0160C1290,685,,,
0160C1300,832,,,
0160C1310,516,,,
0160C1320,695,,,
0160C1330,568,,,
0160C1340,1423,,,
0160C1350,592,,,
0160C1360,894,,,
0160C1370,789,,,
0160C1380,642,,,
0162C1010,607,,,
0162C1020,670,,,
0162C1030,442,,,
0162C1040,850,,,
0162C1050,545,,,
0162C1060,617,,,
0162C1070,865,,,
0162C1080,537,,,
0162C1090,903,,,
0162C1100,653,,,
0162C1110,665,,,
0162C1120,531,,,
0162C1130,550,,,
0162C1140,808,,,
0162C1150,557,,,
0162C1160,630,,,
0162C1170,622,,,
0162C1180,652,,,
0162C1190,688,,,
0162C1200,570,,,
0163C1010,1120,,,
0163C1020,827,,,
0163C1030,766,,,
0163C1040,770,,,
0163C1050,694,,,
