from_node,to_node,distance
272,41477,468.7934600943366
273,41477,479.97570779580934
274,3346,204.6333976165094
275,48866,321.0744502725243
276,41477,471.9327186788567
277,41478,484.8833472959756
278,48866,499.2988142498991
279,48866,431.8996100035235
280,48866,395.8625657388483
281,19661,136.97265582834274
282,19661,123.06838099772757
283,19661,127.27413837161491
284,19661,127.9255446117982
285,19661,130.29039494007299
286,16359,0
287,16359,0
288,16359,0
289,16359,0
290,72031,0
291,72031,0
292,72031,0
293,72031,0
294,317,889.6199003854076
295,317,846.0216747704036
296,317,805.0249466037905
297,317,798.7847466147143
298,317,598.2506508118818
299,317,478.32256859570157
300,317,445.7106676618438
301,5117,5871.592852452253
302,317,1215.22017835696
303,798,2991.7721913645887
304,317,951.1856353908568
305,317,962.2458441405416
306,317,1024.0059371916905
307,798,2440.6460888317165
308,798,2426.6992584449886
309,798,2420.747688730889
310,798,2316.516815315187
311,798,2283.906954910258
312,798,2275.248260513671
313,798,2271.131181843252
314,798,2209.7158459579405
315,798,2197.037444233746
316,798,2166.414569587143
317,317,0
318,317,100.34958340398506
319,317,52.76898713246852
320,317,28.796001130242797
321,42560,108.47517983855897
322,42560,54.34738757493013
323,77203,2327.0731462296417
324,77203,2469.8281321499944
325,77203,1783.8196543904562
326,43435,864.0977923045216
327,43435,831.9744061241569
328,43435,881.0460222353648
329,77203,1949.5316117169957
330,43435,820.4803636387547
331,43435,776.7648059053975
332,43435,751.68994116638
333,43435,741.857123479939
334,798,1540.6328616696753
335,798,1434.518788542943
336,798,1357.3682910046214
337,798,1452.1011782361356
338,798,1493.555470889196
339,72031,0
340,72031,0
341,72031,0
344,72031,158.08937949329788
345,72031,0
346,72031,0
347,36101,171.68785939377494
348,36101,383.12688311325945
349,39292,3294.4074169154937
350,36101,446.32899827757217
351,36101,452.9618329909089
352,36101,193.06982933341777
353,27856,119.0386875577408
354,27856,92.85396023766296
355,27856,77.79908885233479
356,27856,49.12693953238052
357,27856,25.830364541242716
358,36101,16.461535702167513
359,36101,12.816472505564386
360,36101,16.599877658532176
361,317,339.2187519427237
362,317,316.49701922631294
363,317,310.9484097802851
364,317,211.49123022478634
365,317,236.1193311827758
366,317,253.94329484158703
367,5117,5162.290035269163
368,317,260.11668565793366
369,317,245.25362739750452
370,317,184.93348468403443
377,78520,2457.976463531948
378,78520,2602.1540088519623
379,78520,395.1944992359489
380,78520,438.02274515801287
389,56256,862.6781800745435
390,56256,1634.112855830337
391,56256,1818.2992104902692
392,56256,1986.940900036033
393,56256,2157.8840285207007
394,19694,2746.5423121873055
395,19694,2773.4744560734425
396,19694,3018.240162614972
397,42907,1557.8786652150407
398,19694,3235.9702777995685
399,19694,3082.168074914869
400,19694,2773.029926249458
401,19694,2709.044758501789
402,56256,2077.8124792150543
403,56256,2018.648704956219
