from_node,to_node,time,distance
33122,54758,26.238162317264162,16830.6756742729
33123,54758,3.923110502068317,1949.70957454096
33124,54758,3.8736490806964903,1926.69475119948
33125,54758,1.4757659913882797,726.659922120518
33126,54758,1.1373523527396154,560.837239182672
33127,54758,8.253723459069723,5325.19078103907
33128,54758,8.668506379805576,5657.01711762776
33129,54758,9.276627238661275,6218.19964887466
33130,54758,9.421645435472369,6363.21784568575
33131,54758,5.185749609104299,2974.39822293605
33132,54758,5.888964402523058,3466.64857832918
33133,54758,4.633907566303629,2301.97971638679
33134,54758,4.6745818241822725,2322.31684532611
33135,54758,18.099089179790752,10016.7548723073
33136,54758,17.870821772259756,9904.90384261716
33137,54758,18.121463935680175,10027.7185026932
33138,54758,18.237785708036178,10084.7161711476
33139,54758,18.214919763933896,10073.5118585375
33140,54758,8.314895238847125,5323.44769360269
33141,54758,17.435352415155496,9774.26303548588
33142,54758,15.936678541094548,9565.1221229971
33143,54758,15.88596463141203,9540.27230725267
33144,54758,16.886368218980834,9622.9898295912
33145,54758,16.867741480869704,9613.86272791675
33146,54758,16.914767936676714,9636.90569126218
33147,54758,15.921497869710873,9557.6835940191
33148,54758,15.854294442211495,9524.7539145444
33149,54758,15.565926823598891,9410.37505893134
33150,54758,15.998512321464245,9365.0001280131
33151,54758,16.616138488385698,9548.74670972975
33152,54758,17.477156459171514,9807.96001262014
33153,54758,15.619690227158472,9256.54477468189
33154,54758,15.477688145078913,9186.9637544629
33155,54758,15.458772843200082,9193.87201429691
33156,54758,15.392547314791392,9161.42150537665
33157,54758,17.851515358056428,9918.55569362736
33158,54758,14.14104852581258,8867.13714059497
33159,54758,14.17331557223617,8882.94799334253
33160,54758,14.072200668772954,8833.40169064555
33161,54758,14.385399976760677,8988.13181700699
33162,54758,14.091749703862487,8842.98071783942
33163,54758,14.51421264495374,9054.64068680501
33164,54758,14.404980166940266,9001.11677257841
33165,54758,14.557412833643676,9073.56018141203
33166,54758,4.184258161112712,2067.12940250299
33167,54758,0.4964976926395566,244.335395916309
33168,54758,0.5003940058726871,246.244589400543
33169,54758,0.5034407893387526,248.128936342892
33170,54758,0.49027520741996217,241.677801202685
33171,54758,0.4718445652680553,232.64678654825
33172,54758,0.33121586845650886,163.347302066616
33173,54758,0.8284048600492507,409.452967764394
33174,54758,14.8652229820966,9228.15773584681
33175,54758,9.171801914753775,6168.16058733739
33176,54758,26.771159013474126,17097.1740223779
33177,54758,26.97472888534863,17198.9589583151
33178,54758,26.761866895640157,17092.5279634609
33179,54758,26.850542764355495,17136.8658978186
33180,54758,26.891884118892172,17157.5365750869
33181,54758,27.234533250653225,17328.8611409674
33182,54758,27.54874559045167,17485.9673108667
33183,54758,27.4865202521076,17454.8546416946
33184,54758,26.949361501303613,17186.2752662926
33185,54758,27.127478475018318,17275.33375315
33186,54758,27.254009186147574,17338.5991087146
33187,54758,27.325916935774245,17374.5529835279
33188,54758,27.414464127601416,17418.8265794415
33189,54758,27.49772328145137,17460.4561563665
33190,54758,27.53802775573472,17480.6083935082
33191,54758,27.6923554006804,17557.772215981
33192,54758,27.581570252728813,17502.3796420052
33193,54758,27.48243211340936,17452.8105723455
33194,54758,27.26448065245149,17343.8348418666
33195,54758,27.45302156289241,17438.105297087
33196,54758,27.69925947827943,17561.2242547805
33197,54758,27.337375695218128,17380.2823632499
33198,54758,27.37041406463551,17396.8015479586
33199,54758,26.347319580187545,16885.2543057346
33200,54758,26.395066937368355,16909.127984325
33201,54758,26.46353368699483,16943.3613591382
33202,54758,26.522958144615625,16973.0735879486
33203,54758,26.535042278584854,16979.1156549332
33204,54758,26.326881077575948,16875.0350544288
33205,54758,26.502291669886713,16962.7403505842
33206,54758,26.689729766115583,17056.4593986986
33207,54758,26.18746006724737,16805.3245492645
33208,54758,26.677447345555933,17050.3181884188
33209,54758,26.187568241525444,16805.3786364035
33210,54758,26.175263368875193,16799.2262000784
33211,54758,26.26350345315416,16843.3462422179
33212,54758,25.658040561432458,16540.614796357
33213,54758,25.871585406883064,16647.3872190824
33214,54758,26.099231486355333,16761.2102588185
33215,54758,26.587553186658866,17000.4878919672
33216,54758,26.53751422299609,16975.9687997725
33217,54758,25.76321241496676,16593.2007231242
33218,54758,25.833029449749414,16628.1092405155
33219,54758,25.859383310237966,16641.2861707598
33220,54758,25.873812812078093,16648.5009216799
33221,54758,26.071633191761627,16747.4111115216
33222,54758,26.14728294426642,16785.235987774
33223,54758,26.22309128905449,16823.1401601681
33224,54758,26.266774657974075,16844.9818446279
33225,54758,25.835544567899245,16629.3667995904
33226,54758,25.896200538907,16659.6947850943
33227,54758,25.769811698635888,16596.5003649588
33228,54758,26.62019343280578,17021.6912320437
33229,54758,26.773073432794657,17098.1312320381
33230,54758,26.87432647680057,17148.7577540411
33231,54758,27.003265796080147,17213.2274136809
33232,54758,27.112408918582194,17267.7989749319
33233,54758,27.289256807549627,17356.2229194156
33234,54758,25.58171281892999,16502.4509251058
33235,54758,26.397088969707745,16910.1390004947
33236,54758,26.355595560084623,16889.3922956831
33237,54758,16.335989154418723,10351.8519854557
33238,54758,13.896523058178472,6916.87966439194
33239,54758,9.713752223087976,6057.74408465568
33240,54758,9.808904616997374,6086.2898028285
33241,54758,9.753033595350775,6069.52849633452
33242,54758,9.646460724407419,6037.55663505152
33243,54758,0.7291745747933598,364.014036835519
33244,54758,0.6183570872150302,307.92923291939
33245,54758,7.435477611523221,4871.99656431095
33246,54758,7.49400868022191,4901.26209866029
33247,54758,10.18125907938571,6640.11863066025
33248,54758,10.214435073332698,6656.70662763375
33249,54758,10.251417115916043,6675.19764892542
33250,54758,10.311869604657353,6705.42389329607
33251,54758,10.328048906768094,6713.51354435144
33252,54758,10.343958466618059,6721.46832427643
33253,54758,10.364328371142793,6731.65327653879
33254,54758,10.366412030331462,6732.69510613313
33255,54758,10.388061947066682,6743.52006450074
33256,54758,10.497836931586352,6798.40755676057
33257,54758,10.50609010565816,6802.53414379648
33258,54758,10.525100675976832,6812.03942895581
33259,54758,10.553617555810513,6826.29786887266
33260,54758,10.641102564855863,6870.04037339533
33261,54758,10.788195459309264,6943.58682062203
33262,54758,10.818608258498623,6958.79322021671
33263,54758,10.783248841727866,7190.25110997221
33264,54758,14.236957507647022,9685.10935591742
33265,54758,13.680990277721747,9295.93229496973
33266,54758,11.709564600959256,7407.38899465518
33267,54758,15.36541646827305,10322.2880822791
33268,54758,14.438611608916274,9808.33932154151
33269,54758,7.460987492808819,4884.75150495375
33270,54758,7.4535837957132545,4880.89858579547
33271,54758,7.45901835066883,4883.62205157854
33272,54758,7.472322228273044,4890.41887268586
33273,54758,19.97879141375484,11758.3939899872
33274,54758,16.549636754671038,10025.982677151
33275,54758,18.37135708596123,10954.6768260904
33276,54758,15.421063482360223,9544.77161566895
33277,54758,15.202862393700576,9392.0308536072
33278,54758,14.371952039225375,8810.39360547456
33279,54758,14.151405962578812,8626.00937470754
33280,54758,13.933216728491118,8503.27888796058
33281,54758,11.779411143941871,7438.70399509227
33282,54758,3.2555570576072563,1602.77885075026
33283,54758,3.3169037544816966,1633.45219918748
33284,54758,3.2741958188084785,1608.8081437299
33285,54758,11.802535023448222,7464.20145374649
33286,54758,14.688758297696726,9139.53998892203
33287,54758,14.06036839943948,8827.90006965506
33288,54758,14.594481659803282,9092.62655045054
33289,54758,14.92989269939684,9259.90447509315
33290,54758,4.904230579117441,2425.11875849537
33291,54758,4.931074421390503,2438.5406796319
33292,54758,8.966545177375444,4632.6562461378
33293,54758,5.802205185436058,2874.10606165468
33294,54758,7.322408425957062,4317.49726899047
33295,54758,7.307554864047741,4314.9945662863
33296,54758,5.618412912466284,3516.17973031244
33297,54758,5.483982191770369,3014.7676424486
33298,54758,6.336409659748119,3611.46687003302
33299,54758,6.750239106006904,3954.7338948473
33300,54758,10.640256505165489,5197.37224490633
33301,54758,10.71169796407015,5218.80468257773
33302,54758,10.744745310180534,5301.21664674639
33303,54758,9.160403674493239,4733.15219970516
33304,54758,9.78897689105382,4863.10658082962
33305,54758,9.88020077461188,4908.71852260865
33306,54758,10.149983591615769,5043.60993111059
33307,54758,6.262192551775373,3102.82101465514
33308,54758,6.122892049333928,3033.17076343442
33309,54758,2.256493683309646,1124.14384815589
33310,54758,12.482591681598556,8039.60183958359
33311,54758,12.534384342736526,8065.53724796247
33312,54758,12.640337259911364,8117.45417737814
33313,54758,13.308489741627382,8452.33031451951
33314,54758,13.270414792288223,8432.05275861084
33315,54758,12.60888467420812,8101.48540596228
33316,54758,6.541262108836127,3988.53351855869
33317,54758,10.006964632168728,6696.42052686864
33318,54758,3.1970669629008017,1579.37516763916
33319,54758,10.179519286624773,6782.69785409667
33320,54758,9.958750729737229,6670.02100717098
33321,54758,15.039612043676224,10162.7409419991
33322,54758,15.062519963133358,10174.1949017277
33323,54758,15.072660781799307,10179.2653110607
33324,54758,14.780300375703266,10031.4588607281
33325,54758,14.710076353312077,9982.30204505427
33326,54758,13.429319479901851,8512.0945207334
